timestamp,vm_id,zone,severity,action,result
2026-03-19T01:42:08Z,edge-node-1,zone1,chaos,latency-simulate,latency=80ms
2026-03-19T01:47:39Z,edge-node-1,zone1,chaos,latency-simulate,latency=500ms
2026-03-19T02:55:18Z,edge-node-1,zone1,chaos,latency-remove,success
2026-03-23T21:03:37Z,edge-node-1,zone1,chaos,latency-simulate,latency=500ms
2026-03-29T23:01:27Z,localhost,zone1,critical,load-redistribute,success
2026-03-29T23:08:20Z,localhost,zone1,critical,load-redistribute,success
2026-03-29T23:08:40Z,edge-node-1,zone1,moderate,edge-tune,success
2026-03-29T23:11:12Z,localhost,zone1,critical,load-redistribute,success
2026-03-29T23:13:32Z,edge-node-3,zone1,emergency,out-scale,success
2026-03-29T23:20:12Z,edge-node-3,zone1,emergency,out-scale,success
2026-03-29T23:23:29Z,edge-node-3,standby,recovery,scale-in,success
2026-03-31T18:17:53Z,edge-node-1,zone1,chaos,latency-simulate,latency=200ms
2026-03-31T18:20:10Z,edge-node-1,zone1,chaos,latency-simulate,latency=300ms
2026-03-31T18:25:37Z,edge-node-1,zone1,chaos,latency-simulate,latency=500ms
2026-04-02T18:16:46Z,localhost,,critical,load-redistribute,success
2026-04-02T18:19:41Z,edge-node-2,zone2,chaos,latency-remove,success
2026-04-02T18:27:14Z,localhost,,critical,load-redistribute,success
2026-04-02T18:34:46Z,localhost,,critical,load-redistribute,success
2026-04-02T18:52:15Z,localhost,,critical,load-redistribute,success
2026-04-02T18:59:51Z,localhost,,critical,load-redistribute,success
2026-04-03T18:44:46Z,localhost,,critical,load-redistribute,success
2026-04-03T19:02:18Z,localhost,,critical,load-redistribute,success
2026-04-03T22:42:10Z,edge-node-3,,emergency,out-scale,success
2026-04-03T22:42:12Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:47:17Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:47:31Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:47:52Z,edge-node-3,,emergency,out-scale,success
2026-04-03T23:46:59Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:03:09Z,localhost,,critical,load-redistribute,success
2026-04-04T00:06:32Z,localhost,,critical,load-redistribute,success
2026-04-04T00:05:23Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:05:57Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:06:54Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:07:23Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:10:41Z,localhost,,critical,load-redistribute,success
2026-04-04T00:07:52Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:11:07Z,localhost,,critical,load-redistribute,success
2026-04-04T00:08:25Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:08:57Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:09:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:09:52Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:10:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:11:37Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:18:07Z,localhost,,critical,load-redistribute,success
2026-04-04T00:15:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:18:38Z,localhost,,critical,load-redistribute,success
2026-04-04T00:15:53Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:16:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:16:53Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:17:22Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:17:53Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:18:23Z,edge-node-3,,emergency,out-scale,success
2026-04-04T00:19:34Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:09:57Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:12:13Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:22:46Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:24:22Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:29:11Z,localhost,,critical,load-redistribute,success
2026-04-12T19:29:22Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:33:12Z,localhost,,critical,load-redistribute,success
2026-04-12T19:33:18Z,edge-node-3,standby,recovery,scale-in,success
2026-04-12T19:32:07Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:35:06Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:42:57Z,localhost,,critical,load-redistribute,success
2026-04-12T19:40:53Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:44:27Z,localhost,,critical,load-redistribute,success
2026-04-12T19:43:52Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:45:54Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:46:38Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:49:52Z,edge-node-3,,emergency,out-scale,success
2026-04-12T19:51:23Z,edge-node-3,,emergency,out-scale,success
